,Date,PM10 (ug/m3),PM2.5 (ug/m3),AT (),BP (mmHg),SR (W/mt2),RH (%),WD,NO (ug/m3),NO2 (ug/m3),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3)
1,2019-03-06,154.95,79.01,16.99,989.28,201.99,70.85,154.55,13.49,46.68,17.05,32.63,0.62,37.93
2,2019-03-07,212.92,106.15,17.26,989.67,197.36,69.54,103.51,25.03,48.55,19.47,28.8,0.62,43.89
3,2019-03-08,171.0,84.52,17.91,991.4,169.7,71.45,91.01,8.59,52.56,20.68,33.84,0.61,43.89
4,2019-03-09,149.83,65.15,18.53,991.43,195.02,66.23,91.97,10.99,50.57,20.3,32.91,0.5,38.55
5,2019-03-10,144.58,73.08,18.15,991.57,219.06,62.12,123.86,3.43,47.55,19.22,32.09,0.5,48.41
6,2019-03-11,176.8,81.46,19.71,990.98,147.29,66.19,141.2,2.34,55.16,21.74,33.25,0.64,50.08
7,2019-03-12,99.94,47.82,19.47,993.25,167.98,64.42,72.12,1.81,54.06,21.21,21.19,0.37,44.98
8,2019-03-13,199.54,84.11,17.59,993.51,95.31,72.08,72.15,12.08,69.55,23.15,40.46,0.58,29.59
9,2019-03-14,192.83,98.23,15.93,994.37,105.04,81.74,72.49,34.69,67.81,24.25,27.72,0.8,23.7
10,2019-03-15,116.65,58.27,17.75,995.64,205.4,72.5,110.16,17.13,55.51,21.08,25.83,0.48,37.46
11,2019-03-16,119.08,62.25,18.97,994.01,200.46,64.08,121.73,2.52,53.45,20.51,27.55,0.47,50.0
12,2019-03-17,177.31,90.69,19.61,992.18,200.24,63.4,161.4,7.79,64.0,22.23,34.28,0.62,42.01
13,2019-03-18,207.38,100.75,19.61,991.7,201.86,66.68,147.45,12.27,68.29,25.06,34.31,0.68,43.15
14,2019-03-19,203.83,98.32,21.15,988.11,202.83,63.64,120.27,12.3,68.86,23.93,29.98,0.7,39.18
15,2019-03-20,292.4,141.02,21.57,986.41,173.34,61.58,164.86,7.98,88.87,24.81,43.81,1.08,27.62
16,2019-03-21,122.72,67.67,24.76,990.64,248.83,51.76,69.76,2.14,52.49,22.36,30.89,0.52,55.11
17,2019-03-22,99.53,33.56,22.23,991.95,216.44,48.14,110.25,1.76,47.9,17.58,32.73,0.29,56.05
18,2019-03-23,119.91,54.24,22.46,991.18,227.59,51.09,161.31,1.62,39.41,17.78,32.12,0.36,65.84
19,2019-03-24,118.5,49.54,22.8,989.56,238.72,56.62,126.59,2.52,46.35,17.92,29.6,0.4,42.56
20,2019-03-25,145.5,70.47,21.57,990.06,218.31,67.56,133.19,2.95,47.26,21.75,33.1,0.49,31.45
21,2019-03-26,164.95,76.51,21.98,991.32,244.6,63.04,150.15,3.27,50.71,22.05,34.32,0.51,38.72
22,2019-03-27,204.09,98.78,22.5,991.89,215.95,59.85,171.88,12.79,56.82,21.47,46.69,0.67,40.1
23,2019-03-28,288.68,148.39,24.75,989.78,226.17,59.48,197.06,34.22,61.73,24.71,54.83,1.02,45.32
24,2019-03-29,262.68,107.68,26.23,986.77,224.74,64.01,145.14,41.99,70.57,24.52,29.21,0.94,36.53
25,2019-03-30,249.2,114.74,27.96,985.71,213.45,59.19,109.66,37.05,72.28,27.12,37.68,0.9,54.51
26,2019-03-31,158.25,56.22,26.64,986.54,259.27,47.06,127.82,2.39,48.71,19.7,33.24,0.41,46.47
27,2019-04-01,156.71,54.83,24.68,986.81,258.65,47.61,146.51,1.79,43.88,19.01,38.0,0.43,51.55
28,2019-04-02,247.48,114.1,24.76,987.61,242.71,48.56,120.0,8.68,60.55,20.26,52.56,0.65,53.75
29,2019-04-03,218.35,97.81,25.93,986.49,245.9,47.96,159.11,3.32,51.57,19.88,50.16,0.64,49.43
30,2019-04-04,224.12,140.83,27.09,986.98,215.29,54.13,78.38,19.71,65.23,23.36,52.59,0.97,55.17
31,2019-04-05,338.4,138.09,28.84,986.0,208.94,50.6,86.43,45.78,77.07,26.17,54.03,1.16,46.21
32,2019-04-06,283.29,99.81,29.62,984.85,208.63,47.99,132.27,6.21,59.73,23.41,44.88,0.72,42.95
33,2019-04-07,322.19,150.85,27.66,984.04,166.5,64.83,136.67,3.78,70.38,28.85,41.75,0.95,38.04
34,2019-04-08,292.36,80.16,25.79,985.18,198.34,62.7,111.53,3.99,64.87,24.35,32.82,0.59,48.42
35,2019-04-09,223.65,114.05,26.64,984.89,214.65,60.36,84.84,4.98,61.85,24.28,37.35,0.82,61.25
36,2019-04-10,245.24,95.0,29.45,986.03,224.94,48.91,104.61,18.92,66.88,23.08,35.25,0.74,42.26
37,2019-04-11,211.2,72.18,29.69,985.7,215.01,44.36,101.33,6.99,65.14,21.87,39.81,0.52,44.46
38,2019-04-12,178.56,43.72,29.16,986.36,200.41,43.28,94.88,1.74,52.68,22.41,28.17,0.39,48.62
39,2019-04-13,168.39,45.21,29.41,986.89,222.19,41.59,94.34,3.72,51.32,21.93,33.55,0.37,42.34
40,2019-04-14,179.1,43.74,28.77,986.61,219.9,42.75,85.55,2.18,52.79,22.21,33.83,0.34,36.94
41,2019-04-15,184.93,43.38,32.1,984.52,231.94,34.03,143.9,5.44,58.01,22.83,44.48,0.45,36.56
42,2019-04-16,151.87,34.83,25.33,987.95,112.28,56.6,161.6,1.67,39.31,20.24,22.44,0.33,48.69
43,2019-04-17,66.38,28.72,22.64,989.15,159.53,67.06,164.89,1.76,36.58,18.32,22.59,0.37,41.43
44,2019-04-18,97.21,40.93,23.47,989.83,225.81,62.57,124.61,3.58,38.94,18.25,21.58,0.42,46.97
45,2019-04-19,167.1,64.04,25.48,987.24,209.27,50.35,199.44,11.07,59.25,20.72,45.0,0.55,41.16
46,2019-04-20,227.71,107.31,27.39,984.71,220.47,43.72,240.59,6.39,60.82,20.08,58.06,0.67,52.99
47,2019-04-21,297.62,120.27,29.11,982.98,206.1,41.59,164.5,24.51,60.93,20.23,48.21,0.9,49.56
48,2019-04-22,239.12,88.83,30.32,983.04,214.39,42.8,108.6,7.2,58.84,21.83,42.11,0.75,52.61
49,2019-04-23,278.08,94.64,32.29,983.96,216.79,39.44,126.45,20.09,63.09,23.65,42.6,0.85,56.42
50,2019-04-24,346.23,112.7,32.81,985.09,185.49,45.67,122.11,1.74,58.62,27.42,46.5,0.92,82.82
51,2019-04-25,262.91,80.51,31.88,985.1,179.13,48.42,124.74,2.05,57.12,26.03,32.21,0.68,75.35
52,2019-04-26,268.29,80.48,32.18,984.74,207.25,35.85,82.49,9.09,61.66,22.8,39.77,0.53,41.22
53,2019-04-27,276.17,55.59,32.58,984.59,274.77,27.93,105.06,2.27,49.81,22.57,41.16,0.32,45.81
54,2019-05-07,372.77,89.77,35.55,980.0,191.51,18.2,187.27,12.05,52.98,18.14,54.91,0.9,43.07
55,2019-05-08,481.08,184.67,33.63,980.65,220.06,22.3,176.72,28.77,58.47,22.34,60.25,1.23,38.5
56,2019-05-09,443.29,157.78,34.49,979.89,209.63,19.79,257.08,9.03,54.9,23.41,53.38,1.0,44.98
57,2019-05-10,369.69,95.35,35.13,980.98,210.98,19.71,235.84,1.92,29.1,19.82,34.94,0.61,50.53
58,2019-05-11,270.7,105.47,31.93,983.52,205.95,31.88,143.19,7.67,41.92,22.62,45.56,0.75,54.07
59,2019-05-12,361.84,157.66,31.89,983.19,200.36,32.28,169.92,1.8,43.0,22.34,35.2,0.75,52.79
60,2019-05-13,333.02,133.36,31.04,981.96,158.29,39.13,127.15,3.04,42.83,24.01,61.51,0.86,64.59
61,2019-05-14,112.69,57.18,29.21,982.94,227.61,48.49,116.77,1.68,42.96,25.77,25.66,0.54,51.74
62,2019-05-15,160.0,83.18,27.31,984.21,178.49,63.86,87.27,2.55,62.37,29.56,33.58,0.7,26.91
63,2019-05-16,190.09,69.84,28.72,984.97,178.41,55.35,193.55,9.89,66.45,26.73,31.38,0.63,39.83
64,2019-05-17,319.98,81.14,27.31,984.61,191.22,62.28,163.7,17.31,57.07,25.18,30.58,0.61,35.02
65,2019-05-18,96.48,39.57,27.42,984.57,259.15,62.93,227.22,2.11,43.96,21.76,29.05,0.39,48.19
66,2019-05-19,168.71,78.24,31.0,984.66,250.58,42.81,251.25,1.78,44.97,18.9,40.16,0.6,55.4
67,2019-05-20,289.54,102.28,32.33,984.9,243.16,36.26,260.23,12.88,53.01,17.15,43.91,0.69,43.51
68,2019-05-21,220.16,79.84,34.11,983.51,237.16,31.42,243.51,3.85,39.81,16.41,41.51,0.57,46.57
69,2019-05-22,252.33,71.0,32.65,981.96,165.5,37.64,211.11,14.07,48.86,16.32,40.81,0.935309,31.79
70,2019-05-23,324.02,121.02,31.27,981.25,175.98,49.41,190.56,18.81,49.09,17.71,55.21,0.64,49.62
71,2019-05-24,122.85,42.9,28.12,983.07,214.28,65.28,193.15,9.79,66.11,26.11,28.08,0.56,21.74
72,2019-05-25,111.15,36.5,31.34,982.43,275.3,44.2,258.3,1.75,37.87,19.11,29.31,0.35,45.19
73,2019-05-26,153.48,59.17,31.99,980.85,276.48,35.43,256.98,1.83,37.41,16.02,44.61,0.46,50.96
74,2019-05-27,211.25,91.0,33.48,980.49,269.7,29.43,241.03,5.74,43.66,15.71,47.2,0.55,46.94
75,2019-05-28,210.0,44.7,34.1,980.06,277.08,22.14,246.93,8.39,42.87,15.42,41.98,0.56,53.05
76,2019-05-29,237.58,88.08,34.8,978.57,256.88,25.02,244.42,7.29,50.41,16.45,53.46,0.66,50.06
77,2019-05-30,305.86,109.17,36.68,977.29,257.86,23.25,222.22,18.12,48.71,17.79,59.79,0.76,44.19
78,2019-05-31,373.64,85.21,36.34,977.59,229.18,25.76,138.72,17.07,39.86,17.83,49.45,0.75,55.32
79,2019-06-01,327.48,113.26,34.67,977.82,226.72,42.3,67.0,15.58,48.76,24.64,56.21,1.02,61.1
80,2019-06-02,210.97,75.14,35.45,977.99,221.75,50.48,72.64,1.61,43.91,28.5,36.12,0.76,63.28
81,2019-06-03,321.68,63.19,34.11,978.63,218.25,46.67,76.16,1.63,39.36,23.33,40.94,0.61,59.92
82,2019-06-04,168.42,54.72,34.33,979.04,226.64,47.04,75.67,1.52,30.05,17.67,37.36,0.59,71.96
83,2019-06-05,225.17,86.6,35.2,978.29,201.68,47.18,69.1,4.33,42.64,19.73,41.81,0.97,56.31
84,2019-06-06,268.73,69.23,35.42,978.74,221.36,39.38,109.57,3.23,42.36,17.35,35.67,0.72,61.7
85,2019-06-07,139.85,58.85,32.35,981.64,234.75,50.91,70.61,1.59,34.48,15.37,36.35,1.95,62.53
86,2019-06-08,261.33,85.58,35.45,979.87,232.56,42.57,112.14,11.53,69.22,17.81,10.1,0.47,60.37
87,2019-06-09,290.88,104.1,35.33,977.18,221.23,34.93,72.61,32.15,69.01,33.55,13.69,0.68,60.84
88,2019-06-10,286.51,77.77,37.19,974.42,206.64,28.01,194.65,23.42,66.88,28.3,10.75,0.69,42.8
89,2019-06-11,446.01,95.06,37.45,974.59,192.62,24.1,175.21,13.12,44.96,19.85,11.37,0.57,28.62
90,2019-06-12,230.47,53.1,34.28,977.49,221.59,40.75,96.52,1.8,27.36,14.21,9.51,0.29,61.44
91,2019-06-13,173.99,49.27,35.16,977.59,232.17,43.31,171.25,2.21,35.85,17.67,10.72,0.43,52.33
92,2019-06-14,215.26,55.27,36.43,976.49,251.67,28.92,240.0,3.22,37.62,10.73,10.7,0.44,54.72
93,2019-06-15,288.11,75.92,37.14,976.07,237.43,22.46,234.55,8.35,32.59,9.13,11.89,0.46,52.7
94,2019-06-16,173.0,36.22,32.73,978.35,161.28,44.18,260.36,1.55,18.22,8.6,9.73,0.27,43.06
95,2019-06-17,135.55,36.2,31.1,977.88,134.9,46.37,238.53,1.66,21.94,14.01,9.76,0.29,41.49
96,2019-06-18,52.92,31.02,26.43,979.85,170.05,71.39,228.93,2.53,31.7,14.22,8.94,0.36,46.95
97,2019-06-19,194.57,68.58,30.5,978.7,247.57,59.86,97.12,3.79,49.2,17.54,11.26,0.44,50.41
98,2019-06-20,129.31,44.24,31.62,979.75,252.65,55.3,107.62,2.89,43.21,11.87,9.5,0.46,76.15
99,2019-06-21,189.16,84.14,32.88,979.69,189.31,55.55,99.34,2.11,48.22,12.03,11.63,0.68,60.44
100,2019-06-22,172.25,59.62,33.8,979.03,248.61,47.62,188.92,5.46,50.85,12.94,10.04,0.58,57.62
101,2019-06-23,130.33,45.86,33.54,979.3,241.04,56.39,74.63,1.65,20.09,14.32,9.96,0.37,37.19
102,2019-06-24,60.57,28.69,30.26,981.27,163.06,68.36,72.73,2.05,70.91,36.73,10.59,0.37,22.19
103,2019-06-25,90.31,54.26,32.13,980.47,215.97,65.59,57.54,1.91,39.26,39.88,12.4,1.3,32.16
104,2019-06-26,140.21,68.71,34.87,977.39,190.6,54.72,175.11,1.89,39.38,26.579,12.0,2.96,36.26
105,2019-06-27,276.08,59.19,33.85,975.55,200.85,48.35,244.82,5.84,53.38,40.09,10.89,1.76,38.76
106,2019-06-28,266.23,62.9,34.78,974.5,222.83,43.09,212.36,5.56,38.19,22.44,13.25,0.49,29.95
107,2019-06-29,323.25,57.86,36.21,973.73,228.31,39.92,211.75,5.35,32.06,26.579,11.69,0.54,26.63
108,2019-06-30,229.53,55.59,35.54,974.25,228.2,45.1,177.02,12.64,36.53,3.55,9.62,1.15,25.25
109,2019-07-01,178.0,56.02,35.12,975.5,230.76,45.09,142.86,1.8,35.51,8.89,10.09,0.51,39.98
110,2019-07-02,211.62,62.62,34.36,976.64,201.43,52.15,161.12,1.39,35.27,18.84,8.67,0.55,47.29
111,2019-07-03,120.79,47.27,34.3,977.03,176.24,57.02,64.93,1.19,38.98,9.51,8.66,0.53,34.27
112,2019-07-04,70.79,38.15,30.14,976.1,88.3,78.69,112.53,1.68,37.61,20.32,10.92,0.56,17.84
113,2019-07-05,76.01,46.96,30.35,974.29,148.48,77.87,173.75,2.85,50.11,56.6,23.89,0.68,25.62
114,2019-07-06,73.51,42.46,32.0,973.01,222.9,67.69,70.9,3.15,50.0,54.98,22.1,0.58,40.81
115,2019-07-07,73.17,45.94,32.07,973.78,174.38,68.76,116.15,1.13,32.95,54.32,22.92,0.54,45.11
116,2019-07-08,145.2,53.93,32.59,973.99,165.71,64.95,120.71,3.29,44.25,34.84,19.07,0.68,45.79
117,2019-07-09,111.65,45.85,30.23,973.97,106.33,75.18,112.88,2.06,44.34,22.97,15.55,0.55,28.4
118,2019-07-10,378.42,77.53,33.58,972.97,194.35,64.71,126.32,1.64,43.21,26.39,19.73,1.48,30.58
119,2019-07-11,380.14,73.27,34.08,973.37,169.01,58.43,139.32,1.47,29.85,25.84,16.04,0.51,23.56
120,2019-07-12,401.61,84.49,33.44,975.73,165.72,66.29,127.32,1.41,39.36,42.17,13.06,0.63,18.0
121,2019-07-13,345.24,57.05,35.33,976.16,224.43,52.54,154.98,0.9,26.6,21.87,12.85,0.65,28.46
122,2019-07-14,230.02,46.62,32.29,975.41,162.97,58.83,135.62,1.02,26.26,35.64,11.95,0.53,25.05
123,2019-07-15,90.68,29.97,27.61,975.51,109.35,80.81,92.51,1.4,28.49,25.18,12.84,0.68,25.67
124,2019-07-16,39.0,24.92,26.52,978.88,101.6,84.9,90.55,1.08,25.51,19.96,11.79,0.84,32.1
125,2019-07-17,38.19,25.12,26.47,979.84,114.1,89.74,166.78,1.13,24.06,17.05,10.72,0.85,37.46
126,2019-07-18,59.65,31.85,27.62,979.46,154.84,85.64,139.32,1.49,35.47,19.25,11.74,0.79,42.36
127,2019-07-19,137.4,71.62,30.6,979.56,199.56,77.11,76.59,2.79,41.17,23.04,21.1,0.99,76.62
128,2019-07-20,82.96,43.54,29.64,980.35,113.88,84.21,81.54,1.68,47.15,27.86,11.68,0.67,23.27
129,2019-07-21,83.73,54.01,29.27,979.66,161.44,87.82,68.77,2.33,43.6,18.2,10.98,2.04,22.18
130,2019-07-22,81.4,54.45,30.1,978.76,169.25,86.29,58.97,1.87,46.7,28.29,10.53,1.79,24.47
131,2019-07-23,80.27,51.36,33.11,977.32,234.8,75.02,104.84,1.49,68.61,34.44,9.91,2.07,22.43
132,2019-07-24,148.24,63.12,31.83,975.77,147.0,76.42,121.28,2.58,66.88,45.2,11.27,0.92,30.9
133,2019-07-25,43.88,19.65,28.16,977.71,58.69,85.22,117.79,1.72,56.1,64.21,10.14,0.76,17.51
134,2019-07-26,43.63,33.92,27.96,976.02,118.67,89.13,61.31,1.3,39.29,31.1,12.67,0.57,26.94
135,2019-07-27,20.51,25.1,27.4,976.02,96.12,93.77,55.83,1.22,26.94,21.73,9.9,0.64,24.22
136,2019-07-28,25.31,21.49,29.63,977.87,168.39,82.81,61.78,1.26,28.1,22.62,11.43,0.58,21.76
137,2019-07-29,29.83,20.45,30.65,979.28,178.59,77.62,57.18,1.21,37.5,29.89,12.82,0.61,24.67
138,2019-07-30,36.85,24.29,30.29,978.9,165.62,79.66,51.57,1.29,45.16,34.3,11.53,0.68,23.32
139,2019-07-31,44.46,27.06,30.33,978.2,136.26,80.78,58.51,1.13,40.31,30.84,11.31,0.57,27.03
140,2019-08-01,70.83,35.31,31.57,977.56,223.55,76.82,60.91,1.5,44.28,32.25,13.9,0.82,34.84
141,2019-08-02,54.48,20.92,29.74,976.7,130.29,84.4,97.0,1.59,50.82,35.35,11.18,0.66,25.24
142,2019-08-03,38.85,27.75,28.48,976.69,119.63,90.69,68.11,1.49,44.23,31.35,10.16,0.81,16.97
143,2019-08-04,50.4,35.69,30.26,975.62,191.71,84.06,86.74,1.48,48.86,34.61,12.71,0.74,21.6
144,2019-08-05,89.19,56.84,30.24,974.0,150.34,87.28,77.28,4.17,67.03,37.37,14.96,0.95,34.6
145,2019-08-06,75.61,49.66,27.72,974.06,8.58,97.85,65.48,4.7,76.02,48.4,10.54,0.93,6.17
146,2019-08-07,30.81,24.3,29.97,974.29,177.89,83.14,84.44,2.86,45.6,31.21,12.42,0.52,19.53
147,2019-08-08,34.9,22.73,32.1,974.03,236.04,76.45,64.61,1.5,32.38,24.36,12.93,0.66,30.51
148,2019-08-09,23.41,10.87,31.03,976.16,194.49,70.84,73.59,0.99,24.31,22.87,11.69,2.33,28.06
149,2019-08-10,29.83,19.35,29.78,977.01,135.83,81.06,77.32,1.29,25.4,20.46,12.73,1.01,33.87
150,2019-08-11,53.98,30.59,31.37,978.23,191.32,76.07,99.18,1.35,41.09,29.63,13.07,2.09,35.67
151,2019-08-12,51.29,22.78,30.81,978.16,132.49,79.39,181.76,1.75,47.2,30.67,11.9,1.18,22.28
152,2019-08-13,42.66,23.17,30.33,978.52,150.9,82.02,189.95,3.32,47.77,30.26,10.97,1.19,16.55
153,2019-08-14,33.6,25.41,29.7,979.88,169.15,85.74,106.59,2.16,38.35,26.44,11.61,0.95,30.45
154,2019-08-15,32.88,19.55,30.43,979.64,207.71,81.56,68.81,1.46,33.92,26.82,10.42,0.72,24.96
155,2019-08-16,17.51,12.49,29.56,977.92,189.85,77.44,68.64,1.02,18.24,16.83,10.6,0.6,30.27
156,2019-08-17,9.96,9.84,26.99,977.33,73.86,92.57,86.3,1.38,17.81,14.69,10.03,0.67,15.3
157,2019-08-18,14.3,13.42,26.9,980.77,75.16,91.44,157.27,1.36,17.52,15.5,10.55,0.79,14.2
158,2019-08-19,53.1,35.4,29.3,982.81,176.06,83.47,101.42,3.81,27.23,22.26,10.41,0.79,22.15
159,2019-08-20,68.05,34.52,30.21,982.21,211.23,78.1,211.45,4.57,34.9,26.91,11.71,0.77,24.21
160,2019-08-21,106.27,45.73,30.89,980.74,228.17,76.59,225.96,4.25,37.92,27.3,10.52,0.79,16.01
161,2019-08-22,115.17,49.18,29.15,981.18,149.8,80.4,158.3,9.44,72.78,37.09,10.09,0.91,13.34
162,2019-08-23,125.93,53.38,31.04,980.79,208.29,74.59,131.76,19.75,65.13,32.06,10.97,1.05,18.33
163,2019-08-24,110.35,54.62,29.76,981.14,109.21,81.66,80.91,8.56,55.18,30.14,10.88,0.81,19.84
164,2019-08-25,77.79,50.99,28.35,981.86,144.06,85.87,72.68,1.92,48.8,26.33,12.12,0.9,20.6
165,2019-08-26,32.54,16.38,29.91,981.41,212.44,79.91,65.0,1.41,29.88,18.75,10.79,0.65,19.88
166,2019-08-27,53.69,30.3,31.29,980.47,213.53,77.21,55.59,2.43,27.01,18.99,11.22,0.74,18.51
167,2019-08-28,63.82,34.4,32.02,981.46,207.27,75.61,55.49,1.84,34.44,21.48,12.35,0.71,32.55
168,2019-08-29,70.75,34.43,32.26,982.44,213.04,72.93,61.79,1.47,32.05,23.03,12.1,0.86,34.63
169,2019-08-30,79.21,38.96,31.73,979.98,213.64,75.59,132.01,1.47,36.67,24.38,12.33,0.82,32.37
170,2019-08-31,98.77,53.6,31.14,977.94,128.21,79.82,168.88,2.06,34.75,23.81,10.16,0.89,35.43
171,2019-09-01,65.97,37.0,28.73,979.59,46.7,85.42,59.27,1.46,41.94,27.59,10.0,0.72,24.76
172,2019-09-02,65.1,38.85,31.06,980.27,211.85,77.75,70.53,1.67,36.05,24.38,10.79,0.68,33.76
173,2019-09-03,130.54,70.94,31.29,979.17,135.73,79.36,69.44,3.87,39.91,30.66,12.83,0.9,30.97
174,2019-09-04,112.58,56.15,30.5,978.84,152.1,83.33,64.39,2.61,40.31,27.62,12.23,0.86,27.64
175,2019-09-05,62.0,30.94,30.67,978.97,183.46,80.81,63.54,1.42,36.16,23.38,11.49,0.76,21.77
176,2019-09-06,77.96,32.04,31.24,977.99,178.53,77.62,88.55,2.37,40.02,21.82,12.24,0.69,28.07
177,2019-09-07,74.04,33.74,30.56,978.63,141.85,78.68,80.48,2.73,41.11,22.04,10.84,0.82,41.56
178,2019-09-08,44.38,25.31,30.46,980.28,180.57,79.82,109.11,1.27,26.31,18.34,11.29,0.56,22.38
